"Country","Year","Continent","Least.Developed","Life.Expectancy","Population","CO2.emissions","Health.expenditure","Electric.power.consumption","Forest.area","GDP.per.capita","Individuals.using.the.Internet","Military.expenditure","People.practicing.open.defecation","People.using.at.least.basic.drinking.water.services","Obesity.among.adults","Beer.consumption.per.capita","ZPopulation","ZCO2.emissions","ZHealth.expenditure","ZElectric.power.consumption","ZForest.area","ZGDP.per.capita","ZIndividuals.using.the.Internet","ZMilitary.expenditure","ZPeople.practicing.open.defecation","ZPeople.using.at.least.basic.drinking.water.services","ZObesity.among.adults","ZBeer.consumption.per.capita","cluster0","cluster1","cluster2","cluster3","cluster4"
"Georgia",2015,"Asia",FALSE,72.973,3725276,2.469615623,7.42301512,2693.97276,40.61591596,12089.16941,47.56975964,2.00294589,0.063478336,95.75472951,22.5,1.39,-0.291257401546189,-0.473734956502218,0.335636840495901,-0.285119983988452,0.504861546664958,-0.493159108792802,-0.137202083074607,-0.0991114606874417,-0.498043494283171,0.409833716800514,0.330139756584941,-0.476644755297217,"1","6","1","1","1"
"Germany",2015,"Europe",FALSE,80.64146341,81686611,9.087290909,11.18370342,7035.482975,32.73232815,47609.781,87.58979935,1.137338427,0,100.0000024,25.2,5.88,0.148313662199678,0.740168909048495,1.82649819026807,0.710155420293722,0.121534267782667,1.3198014321261,1.32075362190561,-0.34199109178091,-0.50267763648309,0.69484756001901,0.634949824949142,2.00921233794686,"1","3","1","1","4"
"Ghana",2015,"Africa",FALSE,62.772,27849203,0.566623028,4.62171459,351.3014757,34.63320735,5206.028871,23,0.526514224,18.75471987,80.15796123,9.3,0.47,-0.155238947614921,-0.82280769992798,-0.774891434148207,-0.822168843513459,0.213961582449686,-0.844472378362726,-1.03229417935206,-0.513381431431438,0.866482998055731,-0.637282684065563,-1.16004279986226,-0.985996320059924,"1","2","2","1","2"
"Greece",2015,"Europe",FALSE,81.03658537,10820883,6.28506954,8.06892395,5062.606422,30.27,26760.3633,66.83495949,2.466920999,0,100.0000046,26.9,2.1,-0.251250088730001,0.226147412836039,0.591696485248582,0.257880656064958,0.00180736523488252,0.255653887947057,0.564641499101378,0.031074689649009,-0.50267763648309,0.694847707719869,0.826867275400675,-0.0835582216216498,"1","3","1","1","3"
"Guatemala",2015,"North America",FALSE,73.25,15567419,1.049628082,6.00602055,601.1897311,33.46211273,8194.440681,28.80594156,0.432011238,4.739855752,92.13403385,18.2,0.9,-0.224487593210549,-0.734208353965581,-0.226106720450118,-0.764882871097844,0.157018915631303,-0.691944804961617,-0.820780005914878,-0.539897896871051,-0.156651465257169,0.166751961653054,-0.155298500439526,-0.747929827833876,"1","1","1","1","1"
"Honduras",2015,"North America",FALSE,74.495,9112904,1.089663658,7.48378992,619.837087,57.76950576,4823.395396,27.1,1.67127565,7.515631775,93.25441071,18.7,1.22,-0.260880223281771,-0.726864484953337,0.359729983328328,-0.760608032674559,1.33892835223239,-0.864001867320202,-0.882928550688645,-0.192174366195088,0.0459899651311124,0.241970427696511,-0.0988521914831923,-0.570764066177282,"1","6","1","1","1"
"Hungary",2015,"Europe",FALSE,75.56829268,9843028,4.407180501,6.85949564,3965.958233,22.58185404,26806.59525,72.83473703,0.90544456,0,99.97052896,28.1,3.92,-0.256763549505644,-0.118320495454953,0.112239061803179,0.00647805291289111,-0.372016855605081,0.258013551740214,0.783217241565457,-0.407057879299813,-0.50267763648309,0.692868808917506,0.962338416895876,0.924072047800226,"1","3","1","1","7"
"India",2015,"Asia",FALSE,68.607,1310152392,1.647151914,3.59565997,804.5163493,23.82222461,5464.859178,14.9,2.457450601,29.22911238,88.13813263,3.6,0.21,7.07479856820555,-0.624602418636908,-1.18165345580078,-0.718270984425056,-0.311705752733789,-0.831261763106399,-1.32738237256514,0.0284174034414982,1.63115055879815,-0.101519877011639,-1.80353072196446,-1.12994350140591,"3","7","4","2","8"
"Indonesia",2015,"Asia",FALSE,70.768,258383257,1.890795841,2.92428517,811.9098582,50.61354905,10247.20634,22.0627426,0.882266734,12.05811867,88.52735296,6.5,0.06,1.1445861432,-0.579909940988609,-1.44780865418056,-0.716576049438127,0.990981011560379,-0.587172308854931,-1.06643906734485,-0.413561314250476,0.377607514348203,-0.0753888873234657,-1.47614213001773,-1.21298995218243,"1","2","2","1","2"
"Iran",2015,"Asia",FALSE,75.502,77465769,7.81441898,6.75900412,2830.811233,6.564490778,16210.91989,39.35,2.281078729,0.415113999,96.66106245,24.6,0,0.124515198411914,0.506681454891759,0.0724008962344306,-0.253750262441815,-1.150836400978,-0.282786295790414,-0.436653196755277,-0.0210705423511139,-0.472372851862663,0.470681968764104,0.567214254201542,-1.24620853249305,"1","1","1","1","1"
"Iraq",2015,"Asia",FALSE,69.929,35572269,3.743646439,3.14434433,1328.230493,1.900361184,9763.90409,16.8,5.410251036,0.327922589,94.2475933,26.8,0.11,-0.111693819289457,-0.240034923554858,-1.36056991750905,-0.598211424436364,-1.37762249744977,-0.611839899568206,-1.25816415440405,0.856939696745053,-0.478738132019841,0.308649483278636,0.815578013609409,-1.18530780192359,"1","1","1","1","1"
"Ireland",2015,"Europe",FALSE,81.45365854,4701957,7.881824817,7.31605005,5672.064134,10.95471041,69028.77272,83.49479167,0.34201587,0,97.37212799,26.2,5.1,-0.285750560159874,0.519045948850549,0.293232345382953,0.397596616794003,-0.937368753278873,2.41301985028984,1.17156986666056,-0.565149575852891,-0.50267763648309,0.518420601258854,0.747842442861808,1.57737079390892,"1","3","1","1","4"
"Israel",2015,"Asia",FALSE,82.05121951,8380100,7.892507176,7.09919786,6600.89828,7.624768946,35469.9502,77.35208966,5.509027525,0,100.0000015,26.3,1.58,-0.265012007759259,0.521005452199215,0.207264957794768,0.610528461795141,-1.09928201295149,0.700188389764292,0.947787294120157,0.884655258630208,-0.50267763648309,0.694847499595931,0.759131704653075,-0.371452584313614,"1","3","1","1","3"
