Data;Usuario;Empresa;Unidade
09/09/2022;I900965;2269651;G00002
09/09/2022;I917665;0;0
09/09/2022;I917665;2269651;A00002
09/09/2022;I917665;2269651;G04202
09/09/2022;I922265;0;0
09/09/2022;I922265;2269651;A00002
09/09/2022;I922265;2269651;G04202
09/09/2022;I922365;0;0
09/09/2022;I922365;2269651;A00002
09/09/2022;I922365;2269651;G04202
09/09/2022;I922465;0;0
09/09/2022;I922565;0;0
09/09/2022;I922565;2269651;A00002
09/09/2022;I922565;2269651;G04202
12/09/2022;I900265;0;0
12/09/2022;I900265;2269651;A00002
12/09/2022;I900365;0;0
12/09/2022;I900365;2269651;A00002
12/09/2022;I900365;2269651;A00283
12/09/2022;I900365;2269651;G04035
12/09/2022;I900365;2269651;G04202
12/09/2022;I900565;0;0
12/09/2022;I900665;0;0
12/09/2022;I900665;2269651;A00002
12/09/2022;I900665;2269651;G04202
12/09/2022;I917665;0;0
12/09/2022;I917665;2269651;A00002
12/09/2022;I917665;2269651;G04202
12/09/2022;I922265;0;0
12/09/2022;I922265;2269651;A00002
12/09/2022;I922265;2269651;G04202
12/09/2022;I922365;0;0
12/09/2022;I922565;0;0
12/09/2022;I922565;2269651;A00002
12/09/2022;I922565;2269651;G04202
13/09/2022;I900965;0;0
13/09/2022;I920365;0;0
13/09/2022;I920365;2269651;A00002
13/09/2022;I920365;2269651;G04202
14/09/2022;I900265;0;0
14/09/2022;I900265;2269651;A00002
14/09/2022;I900365;0;0
14/09/2022;I900365;2269651;A00002
14/09/2022;I900365;2269651;D00000
14/09/2022;I900365;2269651;G04202
14/09/2022;I900665;0;0
14/09/2022;I900665;2269651;A00002
14/09/2022;I900665;2269651;A02856
14/09/2022;I900965;0;0
14/09/2022;I917565;0;0
14/09/2022;I917565;2269651;A00002
14/09/2022;I917665;0;0
14/09/2022;I917665;2269651;A00002
14/09/2022;I920365;0;0
14/09/2022;I920365;2269651;A00002
14/09/2022;I920365;2269651;G04202
14/09/2022;I920465;0;0
14/09/2022;I922265;0;0
14/09/2022;I922265;2269651;A00002
14/09/2022;I922265;2269651;G04202
14/09/2022;I922365;0;0
14/09/2022;I922465;0;0
15/09/2022;I900265;0;0
15/09/2022;I900265;2269651;A00002
15/09/2022;I900365;0;0
15/09/2022;I900365;2269651;A00002
15/09/2022;I900965;2269651;A00002
15/09/2022;I917665;2269651;A00002
15/09/2022;I920365;0;0
15/09/2022;I920365;2269651;A00002
15/09/2022;I920365;2269651;A00004
15/09/2022;I920365;2269651;G04202
15/09/2022;I922365;0;0
15/09/2022;I922365;2269651;A00002
15/09/2022;I922565;2269651;A00002
16/09/2022;I900265;0;0
16/09/2022;I900265;2269651;A00002
16/09/2022;I900365;0;0
16/09/2022;I900365;2269651;A00002
16/09/2022;I900365;2269651;G04202
16/09/2022;I900665;0;0
16/09/2022;I900665;2269651;A00002
16/09/2022;I917665;0;0
16/09/2022;I917665;2269651;A00002
16/09/2022;I917665;2269651;G04202
16/09/2022;I920365;0;0
16/09/2022;I920365;2269651;A00002
16/09/2022;I920365;2269651;G04202
16/09/2022;I922265;0;0
16/09/2022;I922265;2269651;A00002
16/09/2022;I922265;2269651;G04202
16/09/2022;I922365;0;0
19/09/2022;I900265;0;0
19/09/2022;I900265;2269651;A00002
19/09/2022;I901122;0;0
19/09/2022;I917665;0;0
19/09/2022;I917665;2269651;A00002
19/09/2022;I920365;0;0
19/09/2022;I920365;2269651;A00002
19/09/2022;I920365;2269651;G04202
19/09/2022;I922365;0;0
19/09/2022;I922465;0;0
20/09/2022;I900265;0;0
20/09/2022;I900265;2269651;A00002
20/09/2022;I900365;0;0
20/09/2022;I900365;2269651;A00002
20/09/2022;I900365;2269651;G04202
20/09/2022;I905051;0;0
20/09/2022;I917565;0;0
20/09/2022;I917665;0;0
20/09/2022;I917665;2269651;A06932
20/09/2022;I917665;2269651;A06933
20/09/2022;I920365;0;0
20/09/2022;I920365;2269651;A00002
20/09/2022;I920365;2269651;G04202
20/09/2022;I921465;0;0
20/09/2022;I922265;0;0
20/09/2022;I922265;2269651;A00002
20/09/2022;I922265;2269651;G04202
20/09/2022;I922365;0;0
20/09/2022;I922565;0;0
21/09/2022;I900265;0;0
21/09/2022;I900265;2269651;A00002
21/09/2022;I900265;2269651;A02516
21/09/2022;I900365;0;0
21/09/2022;I900365;2269651;A00002
21/09/2022;I900365;2269651;G04202
21/09/2022;I917665;0;0
21/09/2022;I917665;2269651;A00002
21/09/2022;I917665;2269651;A02516
21/09/2022;I920365;0;0
21/09/2022;I920365;2269651;A00002
21/09/2022;I920365;2269651;D00000
21/09/2022;I920365;2269651;G04202
21/09/2022;I920665;0;0
21/09/2022;I922365;0;0
22/09/2022;I900265;0;0
22/09/2022;I900265;2269651;A00002
22/09/2022;I900265;2269651;A02516
22/09/2022;I900365;0;0
22/09/2022;I900365;2269651;A00002
22/09/2022;I900365;2269651;G04202
22/09/2022;I917665;0;0
22/09/2022;I920365;0;0
22/09/2022;I920365;2269651;A00002
22/09/2022;I920365;2269651;D00000
22/09/2022;I920365;2269651;G04202
22/09/2022;I922365;0;0
22/09/2022;I922465;0;0
22/09/2022;I922665;0;0
23/09/2022;I900265;0;0
23/09/2022;I900265;2269651;A00002
23/09/2022;I900265;2269651;A00013
23/09/2022;I900265;2269651;A02516
23/09/2022;I900265;2269651;A02657
23/09/2022;I900265;2269651;A03657
23/09/2022;I900265;2269651;A06932
23/09/2022;I900265;2269651;G04202
23/09/2022;I900265;2269651;G04286
23/09/2022;I900265;2269651;G04741
23/09/2022;I900265;2269651;G08596
23/09/2022;I900265;2269651;G08608
23/09/2022;I900265;2269651;G08757
23/09/2022;I900365;0;0
23/09/2022;I900365;2269651;A00002
23/09/2022;I900365;2269651;G04202
23/09/2022;I900665;0;0
23/09/2022;I900665;2269651;A00002
23/09/2022;I900665;2269651;A00023
23/09/2022;I900665;2269651;A02651
23/09/2022;I900665;2269651;A03994
23/09/2022;I900665;2269651;G04202
23/09/2022;I900665;2269651;G04308
23/09/2022;I900665;2269651;G04383
23/09/2022;I900665;2269651;G04416
23/09/2022;I920165;0;0
23/09/2022;I920165;2269651;A06932
23/09/2022;I920165;2269651;G08608
23/09/2022;I920365;0;0
23/09/2022;I920365;2269651;A06933
23/09/2022;I920365;2269651;D00000
23/09/2022;I920365;2269651;D04641
23/09/2022;I920365;2269651;G08608
23/09/2022;I921465;0;0
23/09/2022;I921465;2269651;A03994
